"node1","node2"
"A15939","A20701-0"
"A15939","A25811"
"A15939","A32399-0"
"A15971-0","A19791-1"
"A15971-0","A25148"
"A15971-0","A27452-49"
"A15971-0","A38675-0"
"A15971-0","A45086-20"
"A16006-0","A18004-2"
"A16006-0","A27452-0-0"
"A16006-0","A52357-0-1"
"A16015-0","A23147-0"
"A16015-0","A39471-0"
"A16015-0","A46646-2"
"A16015-0","A49763-0"
"A16028-0","A16692-0"
"A16028-0","A18422-0"
"A16028-0","A26134"
"A16028-0","A28274-0-2"
"A16028-0","A28274-1"
"A16028-0","A47394-0"
"A16028-0","A50191"
"A16028-0","A876"
"A16040-0","A39374-0"
"A16040-0","A39739-0"
"A16040-0","A41205-0"
"A16040-0","A43227-0"
"A16040-0","A6131-0"
"A16105","A18420-0"
"A16105","A21437"
"A16105","A49570-2"
"A16105","A6629-0"
"A16172-0","A253-0"
"A16172-0","A31620-0"
"A16172-0","A369-0"
"A16172-0","A6699-1"
"A16172-0","A6970"
"A16266-0","A18422-0"
"A16266-0","A23872-1"
"A16266-0","A27380-0"
"A16266-0","A28666-0"
"A16266-0","A28821-0"
"A16266-0","A32302-0"
"A16266-0","A43434-0"
"A16266-0","A46350-1"
"A16266-0","A7232-0"
"A16266-0","A43430-1"
"A16266-0","A7644-1"
"A16317-0","A17425-0"
"A16317-0","A22667-0"
"A16317-0","A33061-0"
"A16317-0","A33751-0"
"A16317-0","A4469-0"
"A16321","A19673-0"
"A16321","A22217-10"
"A16321","A23889-9"
"A16321","A45258-1-1"
"A16374","A27043"
"A16374","A29203-0"
"A16374","A34558"
"A16374","A46933-0"
"A16374","A49687-Unknow7"
"A16374","A52163-1"
"A16374","A5917"
"A16376","A2122"
"A16376","A22414-1"
"A16376","A27426-0"
"A16376","A28764-0"
"A16376","A32968-1"
"A16441-2","A21046-1"
"A16441-2","A27027-Unknow6"
"A16441-2","A27237-Unknow2"
"A16441-2","A42723-Unknow0"
"A16441-2","A52370-0-2"
"A16477","A27955-0"
"A16477","A50853-0"
"A16477","A51871-0"
"A16477","A7118"
"A16477","A8009-24"
"A16692-0","A26134"
"A16692-0","A50191"
"A16692-0","A876"
"A16766-0","A46630-0"
"A16766-0","A48491-0"
"A16766-0","A49935-0"
"A16766-0","A6744-2"
"A16841","A22412"
"A16841","A26602"
"A16841","A30018-0"
"A16841","A32046-1"
"A16841","A4458"
"A16927","A30010"
"A16927","A32480-0"
"A16927","A46380-0"
"A16927","A51820-0-1"
"A16965-0","A22573-0"
"A16965-0","A37978-0"
"A16965-0","A41760-1"
"A16965-0","A8621-2"
"A17087-1","A40834-1"
"A17087-1","A48042-0"
"A17087-1","A51977-0"
"A17116-0","A20596-0"
"A17116-0","A23182-0"
"A17116-0","A35449-0"
"A17116-0","A37334-0"
"A17116-0","A52481"
"A17116-0","A52593-0"
"A17116-0","A5822-1"
"A17132","A21341-0"
"A17132","A24411-1"
"A17132","A26217-1"
"A17132","A31218"
"A17147","A19600-0"
"A17147","A1995"
"A17147","A32014-0"
"A17147","A40236-0"
"A17147","A9310-0"
"A1717-1","A19061-1"
"A1717-1","A27047-0-0"
"A1717-1","A40158-0"
"A1717-1","A46618-0"
"A17425-0","A22667-0"
"A17425-0","A33061-0"
"A17425-0","A33751-0"
"A17425-0","A4469-0"
"A17638-1","A25443"
"A17638-1","A28821-0"
"A17638-1","A30050"
"A17638-1","A40214-0"
"A17638-1","A44972"
"A17638-1","A4656-0"
"A17638-1","A7639-1"
"A17714","A41352"
"A17714","A47330-2"
"A17714","A50063-0"
"A17765-0","A18841-1"
"A17765-0","A20164-0"
"A17765-0","A20653-14"
"A17765-0","A28273-0-0"
"A17765-0","A32249-1"
"A17765-0","A35016"
"A17765-0","A39171"
"A17765-0","A49428-0"
"A17765-0","A44456-1"
"A17765-0","A49681-6"
"A17905-0","A48486-0"
"A17905-0","A49729"
"A17905-0","A6799-0"
"A17905-1","A26622-2"
"A17905-1","A3378-0"
"A17905-1","A38645-0"
"A17905-1","A41934-2"
"A17905-1","A44760-0"
"A17905-1","A45267-10"
"A17905-1","A48486-0"
"A17905-1","A588-0"
"A17905-1","A6744-1"
"A17905-1","A6799-0"
"A17905-1","A9266"
"A17907-0","A21343"
"A17907-0","A30226"
"A17907-0","A38645-0"
"A17907-0","A50230"
"A17935","A22211-1"
"A17935","A27017-14"
"A17935","A38942"
"A17949-0","A22025-1"
"A17949-0","A32253-0"
"A17949-0","A51168-1"
"A17949-0","A51820-0-0"
"A18004-2","A22121-0"
"A18004-2","A27023-43"
"A18004-2","A27464-1"
"A18004-2","A47354-0"
"A18004-2","A51184-2"
"A18004-2","A8006-6"
"A18010-0","A18683"
"A18010-0","A45258-0-3"
"A18010-0","A49674-0-3"
"A18010-0","A51607-0"
"A18010-0","A8007-0-1"
"A18012-1","A18420-0"
"A18012-1","A22108-3"
"A18012-1","A24934-0"
"A18012-1","A51131-1"
"A18012-1","A51157-2"
"A18012-1","A52373-0-0"
"A18012-1","A52373-0-1"
"A18079-0","A22308-1"
"A18079-0","A33378"
"A18079-0","A43703-17"
"A18079-0","A44548-0"
"A18117","A28926-0"
"A18117","A4350-0"
"A18117","A49985"
"A18176","A24970"
"A18176","A38675-0"
"A18176","A41367"
"A18176","A50385"
"A18261-0","A28887-1"
"A18261-0","A35409-0"
"A18261-0","A51349-1"
"A18261-0","A52373-0-0"
"A18415-1","A21046-0"
"A18415-1","A27027-118"
"A18415-1","A27237-0"
"A18415-1","A52370-0-2"
"A18415-1","A8020-Unknow1"
"A18420-0","A21437"
"A18420-0","A24934-0"
"A18420-0","A39733-0"
"A18420-0","A44798-0"
"A18420-0","A49570-2"
"A18420-0","A6629-0"
"A18422-0","A20387-0"
"A18422-0","A22107-0"
"A18422-0","A28274-0-2"
"A18422-0","A28666-0"
"A18422-0","A29388-0"
"A18422-0","A32246-0"
"A18422-0","A32347-0"
"A18422-0","A34498-0"
"A18422-0","A35409-0"
"A18422-0","A35956-0"
"A18422-0","A45894-3"
"A18422-0","A46759-0"
"A18422-0","A48293-0"
"A18422-0","A49674-0-3"
"A18422-0","A51046-0"
"A18422-0","A51377-0"
"A18422-0","A51386-1"
"A18422-0","A6744-1"
"A18422-0","A7232-0"
"A18422-0","A8598-0"
"A18422-0","A7759-0"
"A18422-0","A52357-0-1"
"A18422-0","A8039-0"
"A18438-0","A24157-0"
"A18438-0","A4702"
"A18438-0","A49268-0"
"A18443-0","A27664-0"
"A18443-0","A39739-0"
"A18443-0","A43662-0"
"A18443-0","A51360-6"
"A18443-0","A6487-1"
"A18443-0","A9661-1"
"A18527","A28136"
"A18527","A35485"
"A18527","A46546-5"
"A18527","A6091-0"
"A18527","A9157"
"A18560-0","A25723-2"
"A18560-0","A27450-18"
"A18560-0","A49763-0"
"A18560-0","A51813-0-0"
"A18560-0","A6716-0"
"A18683","A52241-0"
"A18738-0","A27354-0"
"A18738-0","A35409-0"
"A18738-0","A51187-0"
"A18738-0","A51349-1"
"A18738-0","A8015-2"
"A18828-0","A21271-0"
"A18828-0","A25103"
"A18828-0","A38729"
"A18828-0","A52249-Unknow0"
"A18841-1","A35016"
"A18841-1","A44456-1"
"A18843-0","A28274-0-2"
"A18843-0","A369-0"
"A18843-0","A7232-0"
"A18843-0","A8598-0"
"A18874-1","A20701-0"
"A18874-1","A25811"
"A18874-1","A32399-0"
"A18962","A21298"
"A18962","A2962-0"
"A18962","A46525-0"
"A18962","A50156-0"
"A18962","A8019-53"
"A18987-0","A22238-0"
"A18987-0","A35671-0"
"A18987-0","A46646-0"
"A18987-0","A52556-0"
"A18987-1","A43339-1"
"A18987-1","A4551-0"
"A18987-1","A46115-3-2"
"A18987-1","A46646-0"
"A18987-1","A46646-1"
"A1903-0","A26499-1-0"
"A1903-0","A2752"
"A1903-0","A44936"
"A19061-1","A27047-0-0"
"A19061-1","A40158-0"
"A19061-1","A46618-0"
"A19171-0-0","A19172-26"
"A19171-0-0","A27026-72"
"A19171-0-0","A27220-0-1"
"A19171-0-0","A52241-3-2"
"A19171-0-0","A52256-0-3"
"A19171-1-0","A28270-1"
"A19171-1-0","A49673-0"
"A19171-1-0","A49676-0-3"
"A19171-1-0","A52346-5"
"A19171-1-0","A52373-0-0"
"A19171-1-0","A52384-1"
"A19172-26","A27026-72"
"A19172-26","A27220-0-1"
"A19172-26","A52241-3-2"
"A19172-26","A52256-0-3"
"A19173-1","A23033-0"
"A19173-1","A26507-13"
"A19173-1","A32302-0"
"A19173-1","A39916"
"A19173-1","A43712-1"
"A19173-1","A52246-7"
"A19410-0","A25084"
"A19410-0","A26300-0"
"A19410-0","A50459-0"
"A19410-0","A5688-0"
"A19415","A29788"
"A19415","A30947-0"
"A19415","A50836-0"
"A19415","A52359-3"
"A19457","A27219-0-1"
"A19457","A32930"
"A19457","A3781"
"A19457","A4256-0"
"A19457","A4261-1"
"A19550-0","A31109-4"
"A19550-0","A34958"
"A19550-0","A36491"
"A19550-0","A39002-0"
"A19550-0","A39308-0"
"A19550-0","A39308-1"
"A19550-0","A45453-1"
"A19550-0","A51744-5"
"A19600-0","A1995"
"A19600-0","A32014-0"
"A19600-0","A40236-0"
"A19600-0","A9310-0"
"A19601-0","A21046-0"
"A19601-0","A22211-0"
"A19601-0","A27380-0"
"A19601-0","A2762"
"A19601-0","A35173"
"A19601-0","A4455-6"
"A19601-0","A8009-8"
"A19601-0","A43166-0"
"A19601-0","A50218-0"
"A19673-0","A22217-10"
"A19673-0","A23889-9"
"A19673-0","A45258-1-1"
"A19742-0","A25969"
"A19742-0","A40233-2"
"A19742-0","A40980-0"
"A19742-0","A44854-0"
"A19787-1","A28242-1"
"A19787-1","A30241-1"
"A19787-1","A30553"
"A19787-1","A36602-0"
"A19787-1","A48575"
"A19791-1","A25148"
"A19791-1","A27452-49"
"A19791-1","A45086-20"
"A19916","A22702-0"
"A19916","A24573-4"
"A19916","A32824-0"
"A19916","A41083-0"
"A1995","A32014-0"
"A1995","A40236-0"
"A1995","A9310-0"
"A19979-0","A40236-0"
"A19979-0","A5341-0"
"A19979-0","A7305-0"
"A19979-0","A9310-0"
"A19991-0","A43680-0"
"A19991-0","A50240-0"
"A20099-0","A22934-0"
"A20099-0","A27461-4"
"A20099-0","A49676-36"
"A20099-0","A52251-46"
"A20164-0","A20653-14"
"A20164-0","A28273-0-0"
"A20164-0","A32249-1"
"A20164-0","A39171"
"A20164-0","A49428-0"
"A20164-0","A49681-6"
"A20208-0","A28821-0"
"A20208-0","A32399-0"
"A20208-0","A49557-0"
"A20208-0","A44671-0"
"A20216-0","A2538-0"
"A20216-0","A27452-0-0"
"A20216-0","A38761-1"
"A20216-0","A47237-0"
"A20281-1","A33558-0"
"A20281-1","A49682-42"
"A20281-1","A50948-3"
"A20281-1","A7232-0"
"A20281-1","A8020-39"
"A20290-0","A28125-0"
"A20290-0","A32014-0"
"A20290-0","A47571-0"
"A20290-0","A49678-0-1"
"A20290-0","A7232-0"
"A20290-0","A7798-0"
"A20387-0","A20655-0-0"
"A20387-0","A28270-0-2"
"A20387-0","A28887-1"
"A20596-0","A27446-2"
"A20596-0","A35449-0"
"A20596-0","A37334-0"
"A20596-0","A52311-1"
"A20596-0","A52593-0"
"A20618-0","A32517"
"A20618-0","A52274-Unknow0"
"A20618-0","A8020-Unknow3"
"A20618-0","A8043-10"
"A20624-3","A35144-8"
"A20624-3","A46639-8"
"A20624-3","A49686-86"
"A20624-3","A52241-5"
"A20648-0-0","A28763"
"A20648-0-0","A49678-0-1"
"A20648-0-0","A49682-0-2"
"A20648-0-0","A6289"
"A20648-1","A37707-0-2"
"A20648-1","A49676-0-3"
"A20648-1","A49677-0-0"
"A20648-1","A51154-0"
"A20648-1","A51296-0"
"A20648-1","A8228-2"
"A20653-14","A28273-0-0"
"A20653-14","A32249-1"
"A20653-14","A39171"
"A20653-14","A49428-0"
"A20653-14","A49681-6"
"A20655-0-0","A27014-4"
"A20655-0-0","A27034-2"
"A20655-0-0","A27224-3"
"A20655-0-0","A28270-0-2"
"A20655-0-0","A28270-1"
"A20655-0-0","A45266-0"
"A20655-0-0","A51607-0"
"A20655-0-0","A51801-22"
"A20655-0-0","A52237-0-1"
"A20655-0-0","A52237-7"
"A20655-1-1","A27049-3"
"A20655-1-1","A27296-1"
"A20655-1-1","A33558-0"
"A20655-1-1","A8020-39"
"A20655-2","A27014-4"
"A20655-2","A27034-2"
"A20655-2","A2800-2"
"A20655-2","A28270-1"
"A20655-2","A28671-2"
"A20655-2","A29518-0"
"A20655-2","A42727-1"
"A20655-2","A52348-1"
"A20655-2","A6372-0"
"A20655-2","A7232-0"
"A20655-2","A8030-1-6"
"A20655-Unknow1","A20667-24"
"A20655-Unknow1","A28270-0-2"
"A20655-Unknow1","A52249-0"
"A20655-Unknow1","A52251-0"
"A20657-0-3","A25346-0"
"A20657-0-3","A46768-0"
"A20657-0-3","A52567-Unknow0"
"A20663-3","A25208-0"
"A20663-3","A27027-0-4"
"A20663-3","A27464-1"
"A20663-3","A30282-0"
"A20663-3","A31101-2"
"A20663-3","A42659"
"A20663-3","A45223-0"
"A20663-3","A45267-0"
"A20663-3","A50962-2"
"A20663-3","A52216"
"A20663-3","A52345-0-3"
"A20663-3","A52554-0"
"A20663-3","A8016-17"
"A20663-3","A8468-0"
"A20663-3","A9549-2"
"A20666-3","A27017-11"
"A20666-3","A33553-0"
"A20666-3","A42739-0"
"A20666-3","A42871-1"
"A20666-3","A49677-0-0"
"A20666-3","A6733-0"
"A20666-3","A50943-8-2"
"A20666-3","A8020-0-9"
"A20666-4","A26507-55"
"A20666-4","A26978-0"
"A20666-4","A42727-1"
"A20666-4","A47311-0"
"A20667-24","A28270-0-2"
"A20667-24","A52249-0"
"A20667-24","A52251-0"
"A20701-0","A23883-0"
"A20701-0","A24621-0"
"A20701-0","A25811"
"A20701-0","A32399-0"
"A20828-0","A49687-120"
"A20828-0","A50943-13"
"A20828-0","A52060-0"
"A20828-0","A52060-1"
"A20828-0","A52366-1"
"A20828-0","A52589"
"A20855-0","A27460-33"
"A20855-0","A34125-0"
"A20855-0","A47382-0"
"A2102","A22227-1"
"A2102","A27050-2"
"A2102","A28274-0-3"
"A2102","A28919-1"
"A2102","A35756-1"
"A2102","A44402"
"A2102","A7232-0"
"A2102","A7892-0"
"A2102","A49683-14"
"A2104","A25790-0"
"A2104","A29681"
"A2104","A35449-0"
"A2104","A40809-0"
"A21046-0","A22062-0"
"A21046-0","A22211-0"
"A21046-0","A23334-1"
"A21046-0","A23883-0"
"A21046-0","A23885-0-35"
"A21046-0","A27027-118"
"A21046-0","A27045-0"
"A21046-0","A27110-0"
"A21046-0","A27226-28"
"A21046-0","A27237-0"
"A21046-0","A27380-0"
"A21046-0","A27464-1"
"A21046-0","A28261-6"
"A21046-0","A28666-0"
"A21046-0","A36252-0"
"A21046-0","A39926"
"A21046-0","A40236-0"
"A21046-0","A41628"
"A21046-0","A42467-1"
"A21046-0","A42826-1"
"A21046-0","A42826-Unknow0"
"A21046-0","A43430-0"
"A21046-0","A45066-0"
"A21046-0","A45267-0"
"A21046-0","A51379-Unknow0"
"A21046-0","A51589-0"
"A21046-0","A52163-1"
"A21046-0","A52241-5"
"A21046-0","A52370-0-2"
"A21046-0","A52656"
"A21046-0","A606"
"A21046-0","A8009-8"
"A21046-0","A43166-0"
"A21046-0","A52657"
"A21046-0","A43430-1"
